Date ,Timestamp ,Value X ,Value Y ,Value Z
2016-03-24T19:19:33,112437808295,-0.682347,0.5051762,9.439134
2016-03-24T19:19:33,112459385378,-0.6715731,0.4979936,9.540887
2016-03-24T19:19:33,112480742618,-0.6883325,0.5015849,9.479835
2016-03-24T19:19:33,112500706368,-0.7003035,0.4824313,9.4942
2016-03-24T19:19:33,112519113503,-0.6955151,0.4920081,9.495398
2016-03-24T19:19:33,112539056941,-0.6847412,0.5051762,9.489411
2016-03-24T19:19:33,112559027670,-0.6991064,0.4848255,9.483426
2016-03-24T19:19:33,112578950587,-0.6991064,0.4836284,9.484623
2016-03-24T19:19:33,112598665951,-0.706289,0.502782,9.491806
2016-03-24T19:19:33,112618849701,-0.6895296,0.4824313,9.4642725
2016-03-24T19:19:33,112638115639,-0.694318,0.4860226,9.514551
2016-03-24T19:19:34,112661239858,-0.7003035,0.4967965,9.490609
2016-03-24T19:19:34,112681200275,-0.6883325,0.4884168,9.496594
2016-03-24T19:19:34,112701463295,-0.6991064,0.4848255,9.490609
2016-03-24T19:19:34,112721055535,-0.6907267,0.4740516,9.503777
2016-03-24T19:19:34,112740745274,-0.6871354,0.5075704,9.518142
2016-03-24T19:19:34,112760490951,-0.6907267,0.4848255,9.489411
2016-03-24T19:19:34,112780254961,-0.6871354,0.4932052,9.5121565
2016-03-24T19:19:34,112799801680,-0.6763615,0.4932052,9.507368
2016-03-24T19:19:34,112820201368,-0.6871354,0.4836284,9.503777
2016-03-24T19:19:34,112839868399,-0.6739673,0.4776429,9.485821
2016-03-24T19:19:34,112863672149,-0.6919238,0.4836284,9.495398
2016-03-24T19:19:34,112883450222,-0.7038948,0.4991907,9.490609
2016-03-24T19:19:34,112903244806,-0.6667847,0.4776429,9.491806
2016-03-24T19:19:34,112922381629,-0.694318,0.47884,9.497791
2016-03-24T19:19:34,112941426993,-0.6967122,0.4824313,9.504974
2016-03-24T19:19:34,112960589180,-0.6799528,0.4716574,9.500186
2016-03-24T19:19:34,112984200483,-0.706289,0.4836284,9.503777
2016-03-24T19:19:34,113003460222,-0.6835441,0.4896139,9.481032
2016-03-24T19:19:34,113022413712,-0.6811499,0.4979936,9.496594
2016-03-24T19:19:34,113041103035,-0.682347,0.4979936,9.485821
2016-03-24T19:19:34,113064188608,-0.6955151,0.4860226,9.497791
2016-03-24T19:19:34,113083099077,-0.6991064,0.4848255,9.4942
2016-03-24T19:19:34,113102021056,-0.6847412,0.4967965,9.495398
2016-03-24T19:19:34,113122867879,-0.6847412,0.4752487,9.487018
2016-03-24T19:19:34,113143048243,-0.694318,0.5015849,9.504974
2016-03-24T19:19:34,113162256108,-0.6931209,0.5039791,9.50258
2016-03-24T19:19:34,113185337201,-0.6955151,0.4692632,9.487018
2016-03-24T19:19:34,113204178295,-0.6931209,0.5075704,9.508565
2016-03-24T19:19:34,113223518399,-0.6691789,0.490811,9.496594
2016-03-24T19:19:34,113242380483,-0.6919238,0.4991907,9.478638
2016-03-24T19:19:34,113265384128,-0.6931209,0.4932052,9.497791
2016-03-24T19:19:34,113284252983,-0.6979093,0.4944023,9.503777
2016-03-24T19:19:34,113303281577,-0.6907267,0.47884,9.478638
2016-03-24T19:19:34,113326303816,-0.7038948,0.4740516,9.503777
2016-03-24T19:19:34,113345102983,-0.6871354,0.4740516,9.498988
2016-03-24T19:19:34,113363968868,-0.7050919,0.4967965,9.500186
2016-03-24T19:19:34,113387097201,-0.6691789,0.4836284,9.495398
2016-03-24T19:19:34,113406082983,-0.7003035,0.4896139,9.484623
2016-03-24T19:19:34,113425278503,-0.6799528,0.502782,9.507368
2016-03-24T19:19:34,113444717253,-0.6847412,0.4932052,9.507368
2016-03-24T19:19:34,113464007097,-0.6991064,0.4920081,9.477441
2016-03-24T19:19:34,113487532149,-0.6847412,0.5051762,9.493003
2016-03-24T19:19:34,113506834649,-0.7038948,0.4884168,9.473849
2016-03-24T19:19:34,113526190430,-0.6739673,0.4944023,9.493003
2016-03-24T19:19:34,113545574545,-0.6919238,0.47884,9.51096
2016-03-24T19:19:34,113564958191,-0.682347,0.5099646,9.4942
2016-03-24T19:19:34,113588429961,-0.6859383,0.4752487,9.504974
2016-03-24T19:19:34,113607783503,-0.6787557,0.4812342,9.508565
2016-03-24T19:19:34,113627164545,-0.6991064,0.4860226,9.497791
2016-03-24T19:19:34,113648111993,-0.694318,0.5003878,9.490609
2016-03-24T19:19:35,113667585014,-0.682347,0.4979936,9.496594
2016-03-24T19:19:35,113686441628,-0.7098803,0.4920081,9.487018
2016-03-24T19:19:35,113709384701,-0.6715731,0.5171472,9.4882145
2016-03-24T19:19:35,113728375170,-0.6859383,0.5111617,9.495398
2016-03-24T19:19:35,113747242045,-0.6871354,0.5039791,9.4882145
2016-03-24T19:19:35,113766178087,-0.7026977,0.5075704,9.479835
2016-03-24T19:19:35,113789130743,-0.6883325,0.5075704,9.491806
2016-03-24T19:19:35,113808015170,-0.694318,0.4716574,9.483426
2016-03-24T19:19:35,113827260639,-0.6811499,0.4896139,9.484623
2016-03-24T19:19:35,113850411055,-0.6835441,0.4872197,9.514551
2016-03-24T19:19:35,113869343659,-0.7098803,0.4728545,9.489411
2016-03-24T19:19:35,113888315274,-0.6895296,0.4932052,9.497791
2016-03-24T19:19:35,113907518451,-0.6847412,0.4560951,9.506171
2016-03-24T19:19:35,113930828035,-0.6763615,0.4884168,9.475046
2016-03-24T19:19:35,113949484388,-0.6931209,0.4944023,9.490609
2016-03-24T19:19:35,113968099909,-0.6739673,0.502782,9.490609
2016-03-24T19:19:35,113990937827,-0.6967122,0.4932052,9.482229
2016-03-24T19:19:35,114009296159,-0.6883325,0.5003878,9.493003
2016-03-24T19:19:35,114027960378,-0.6775586,0.4860226,9.504974
2016-03-24T19:19:35,114050791056,-0.7026977,0.490811,9.496594
2016-03-24T19:19:35,114069245378,-0.6979093,0.502782,9.496594
2016-03-24T19:19:35,114092046264,-0.6883325,0.4920081,9.491806
2016-03-24T19:19:35,114110490274,-0.6787557,0.4920081,9.483426
2016-03-24T19:19:35,114129282826,-0.7003035,0.4920081,9.498988
2016-03-24T19:19:35,114152055431,-0.6895296,0.4896139,9.4882145
2016-03-24T19:19:35,114170799129,-0.6883325,0.4872197,9.491806
2016-03-24T19:19:35,114189491368,-0.6991064,0.4884168,9.50258
2016-03-24T19:19:35,114211418660,-0.6871354,0.4932052,9.429557
2016-03-24T19:19:35,114230386732,-0.6751644,0.4692632,9.801855
2016-03-24T19:19:35,114249289388,-0.7290339,0.550666,9.202107
2016-03-24T19:19:35,114275095170,-0.6619963,0.4848255,9.610319
2016-03-24T19:19:35,114292147358,-0.7362165,0.5075704,9.400826
2016-03-24T19:19:35,114310950691,-0.6979093,0.4991907,9.563632
2016-03-24T19:19:35,114333521785,-0.7122745,0.4967965,9.500186
2016-03-24T19:19:35,114353536368,-0.6739673,0.4656719,9.406812
2016-03-24T19:19:35,114371985587,-0.7050919,0.4944023,9.538493
2016-03-24T19:19:35,114390668815,-0.7230484,0.5255269,9.513353
2016-03-24T19:19:35,114413240535,-0.6895296,0.5015849,9.500186
2016-03-24T19:19:35,114431800014,-0.7553701,0.5063733,9.496594
2016-03-24T19:19:35,114454478503,-0.7338223,0.5075704,9.514551
2016-03-24T19:19:35,114473114701,-0.706289,0.490811,9.44871
2016-03-24T19:19:35,114492112149,-0.706289,0.5039791,9.504974
2016-03-24T19:19:35,114511112410,-0.7374136,0.5398921,9.533705
2016-03-24T19:19:35,114534210587,-0.7110774,0.5183443,9.493003
2016-03-24T19:19:35,114553291472,-0.7110774,0.5195414,9.442725
2016-03-24T19:19:35,114572523139,-0.7218513,0.5075704,9.507368
2016-03-24T19:19:35,114595641367,-0.7254426,0.5602428,9.56842
2016-03-24T19:19:35,114614784961,-0.730231,0.5099646,9.463076
2016-03-24T19:19:35,114633763033,-0.7242455,0.5219356,9.466667
2016-03-24T19:19:36,114652815897,-0.7206542,0.490811,9.557647
2016-03-24T19:19:36,114675941003,-0.7110774,0.5063733,9.471456
2016-03-24T19:19:36,114694944909,-0.6979093,0.4955994,9.466667
2016-03-24T19:19:36,114713927357,-0.7230484,0.4932052,9.5121565
2016-03-24T19:19:36,114732760847,-0.7290339,0.5135559,9.495398
2016-03-24T19:19:36,114755524336,-0.7146687,0.5099646,9.472652
2016-03-24T19:19:36,114774139232,-0.7038948,0.4920081,9.484623
2016-03-24T19:19:36,114796894961,-0.7266397,0.5291182,9.516945
2016-03-24T19:19:36,114815557357,-0.7122745,0.5183443,9.478638
2016-03-24T19:19:36,114834208607,-0.7003035,0.4991907,9.465469
2016-03-24T19:19:36,114857055117,-0.7242455,0.5219356,9.478638
2016-03-24T19:19:36,114875837930,-0.7122745,0.5135559,9.507368
2016-03-24T19:19:36,114894326523,-0.7050919,0.5159501,9.4942
2016-03-24T19:19:36,114917130690,-0.730231,0.526724,9.470258
2016-03-24T19:19:36,114936071315,-0.7122745,0.514753,9.520536
2016-03-24T19:19:36,114954652826,-0.7074861,0.4979936,9.458287
2016-03-24T19:19:36,114977700950,-0.7050919,0.5231327,9.506171
2016-03-24T19:19:36,114996428919,-0.7146687,0.5015849,9.495398
2016-03-24T19:19:36,115015185325,-0.7290339,0.5255269,9.496594
2016-03-24T19:19:36,115038287773,-0.7278368,0.5039791,9.4882145
2016-03-24T19:19:36,115057593607,-0.7038948,0.5255269,9.515748
2016-03-24T19:19:36,115076765534,-0.6967122,0.5243298,9.487018
2016-03-24T19:19:36,115095864180,-0.7122745,0.4991907,9.469061
2016-03-24T19:19:36,115119058554,-0.7242455,0.5003878,9.51096
2016-03-24T19:19:36,115138395065,-0.7158658,0.5099646,9.496594
2016-03-24T19:19:36,115157041836,-0.7050919,0.5003878,9.497791
2016-03-24T19:19:36,115176267409,-0.7146687,0.4740516,9.477441
2016-03-24T19:19:36,115199159231,-0.7110774,0.5183443,9.489411
2016-03-24T19:19:36,115218068346,-0.7158658,0.5195414,9.4882145
2016-03-24T19:19:36,115236990742,-0.7050919,0.4944023,9.476244
2016-03-24T19:19:36,115259664492,-0.706289,0.4944023,9.482229
2016-03-24T19:19:36,115278307200,-0.7314281,0.5075704,9.509763
2016-03-24T19:19:36,115297354388,-0.7194571,0.4991907,9.490609
2016-03-24T19:19:36,115316591992,-0.7086832,0.5099646,9.481032
2016-03-24T19:19:36,115340118346,-0.7314281,0.5063733,9.496594
2016-03-24T19:19:36,115359198242,-0.7254426,0.4955994,9.476244
2016-03-24T19:19:36,115378902981,-0.7170629,0.5303153,9.490609
2016-03-24T19:19:36,115398430638,-0.7098803,0.5291182,9.483426
