Date ,Timestamp ,Value X ,Value Y ,Value Z, Scalar component
2016-03-24T19:19:36,114996428919,0.037922416,-0.020045143,-0.9970256,0.06403299
2016-03-24T19:19:36,115015185325,0.03790076,-0.020004468,-0.99703693,0.063880295
2016-03-24T19:19:36,115038287773,0.03788762,-0.019947935,-0.99704856,0.063725226
2016-03-24T19:19:36,115057593607,0.037852522,-0.019892259,-0.9970631,0.06353593
2016-03-24T19:19:36,115076765534,0.037801974,-0.019841852,-0.99707603,0.06337836
2016-03-24T19:19:36,115095864180,0.037775718,-0.019785322,-0.9970882,0.0632206
2016-03-24T19:19:36,115119058554,0.03776242,-0.019739276,-0.9970989,0.063073315
2016-03-24T19:19:36,115138395065,0.037718404,-0.019670913,-0.9971147,0.062871546
2016-03-24T19:19:36,115157041836,0.03770106,-0.019626444,-0.9971245,0.06273941
2016-03-24T19:19:36,115176267409,0.037676524,-0.019576991,-0.9971352,0.062598
2016-03-24T19:19:36,115199159231,0.03766124,-0.019537676,-0.99714506,0.062463712
2016-03-24T19:19:36,115218068346,0.037643105,-0.019475661,-0.9971575,0.06229513
2016-03-24T19:19:36,115236990742,0.03762702,-0.019430924,-0.99716836,0.062145542
2016-03-24T19:19:36,115259664492,0.03759216,-0.01938968,-0.9971795,0.06199996
2016-03-24T19:19:36,115278307200,0.037577964,-0.019323893,-0.9971924,0.06182092
2016-03-24T19:19:36,115297354388,0.037565343,-0.019264048,-0.99720305,0.06167657
2016-03-24T19:19:36,115316591992,0.037561398,-0.019236136,-0.9972117,0.061548073
2016-03-24T19:19:36,115340118346,0.037552435,-0.019197263,-0.9972219,0.0613996
2016-03-24T19:19:36,115359198242,0.037538312,-0.019154394,-0.99723434,0.061219018
2016-03-24T19:19:36,115378902981,0.037536692,-0.019122615,-0.9972422,0.061101064
2016-03-24T19:19:36,115398430638,0.03752419,-0.019109927,-0.9972518,0.06095713
2016-03-24T19:19:36,115417521627,0.037508707,-0.019069396,-0.9972622,0.060808644
2016-03-24T19:19:36,115440722252,0.03748579,-0.019033156,-0.9972721,0.06067135
2016-03-24T19:19:36,115460257408,0.03745242,-0.018980946,-0.99728394,0.06051369
2016-03-24T19:19:36,115479121002,0.037424985,-0.01895029,-0.99729437,0.06036691
2016-03-24T19:19:36,115502009857,0.03741639,-0.018910037,-0.9973044,0.060219765
2016-03-24T19:19:36,115524827878,0.037377458,-0.0188518,-0.9973181,0.060034696
2016-03-24T19:19:36,115539145846,0.03735222,-0.018803969,-0.9973297,0.059871446
2016-03-24T19:19:36,115558263398,0.03734247,-0.018778453,-0.99733734,0.059760388
2016-03-24T19:19:36,115582601471,0.03731931,-0.018742267,-0.9973475,0.059615448
2016-03-24T19:19:36,115600981315,0.037289627,-0.018685004,-0.9973604,0.059436668
2016-03-24T19:19:36,115621469336,0.03726269,-0.018612755,-0.9973756,0.059219036
2016-03-24T19:19:36,115641243034,0.037256427,-0.018609168,-0.9973801,0.059150554
2016-03-24T19:19:37,115660229231,0.037238594,-0.018562587,-0.9973906,0.058997273
2016-03-24T19:19:37,115679194440,0.037199583,-0.018542435,-0.9974005,0.058860455
2016-03-24T19:19:37,115702506836,0.037161924,-0.018496457,-0.99741006,0.05873838
2016-03-24T19:19:37,115720608710,0.037116084,-0.018449096,-0.99742264,0.058568005
2016-03-24T19:19:37,115742799649,0.037089847,-0.018416075,-0.99743074,0.058456264
2016-03-24T19:19:37,115760986732,0.03706538,-0.01838056,-0.99744135,0.05830203
2016-03-24T19:19:37,115782576628,0.03705616,-0.018354163,-0.9974487,0.058190186
2016-03-24T19:19:37,115801133399,0.03703431,-0.018322451,-0.9974592,0.058034677
2016-03-24T19:19:37,115823823607,0.0370218,-0.018289289,-0.9974684,0.057892896
2016-03-24T19:19:37,115842376732,0.036985457,-0.018251333,-0.9974807,0.057716887
2016-03-24T19:19:37,115861009597,0.036975265,-0.018222857,-0.9974899,0.05757368
2016-03-24T19:19:37,115883657721,0.03694711,-0.018182246,-0.9974997,0.05743397
2016-03-24T19:19:37,115902269024,0.036927097,-0.0181557,-0.9975111,0.05725851
2016-03-24T19:19:37,115924902669,0.036893543,-0.018134726,-0.99751997,0.05713016
2016-03-24T19:19:37,115943569805,0.036861826,-0.018080382,-0.9975314,0.05696907
2016-03-24T19:19:37,115962176524,0.036825277,-0.018043354,-0.9975408,0.056839176
2016-03-24T19:19:37,115984851055,0.036746815,-0.017994406,-0.9975513,0.056720242
2016-03-24T19:19:37,116003435846,0.036703024,-0.017929168,-0.9975632,0.056562074
2016-03-24T19:19:37,116022190117,0.03664431,-0.01785157,-0.9975731,0.05644906
2016-03-24T19:19:37,116044859440,0.03659061,-0.01777455,-0.9975824,0.056345426
2016-03-24T19:19:37,116063461523,0.03646772,-0.017645838,-0.9975978,0.056191366
2016-03-24T19:19:37,116082058346,0.036228463,-0.01748218,-0.99761593,0.056075137
