Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,=>,Rv[0],Rv[1],Rv[2],Rv[3]
-0.6895296,0.5015849,9.500186,-0.39999998,-30.0,-43.8,-0.0031926,0.0021284,-0.0170272,,0.038379814,-0.021507615,-0.9966812,0.06849074
-0.7553701,0.5063733,9.496594,0.79999995,-31.2,-43.8,0.0021284,0.0063852,-0.0148988,,0.038412504,-0.021467727,-0.996694,0.068298765
-0.7338223,0.5075704,9.514551,0.79999995,-31.2,-43.8,-0.0021284,0.0021284,-0.0148988,,0.038479168,-0.021483991,-0.9967008,0.068157144
-0.706289,0.490811,9.44871,0.79999995,-31.2,-43.8,-0.0042568,0.0010642,-0.0148988,,0.038506437,-0.021456156,-0.9967123,0.06798262
-0.706289,0.5039791,9.504974,0.20000005,-30.0,-44.4,-0.0031926,0.0010642,-0.0148988,,0.038517054,-0.021417078,-0.99672234,0.06784032
-0.7374136,0.5398921,9.533705,0.20000005,-30.0,-44.4,-0.0042568,0.0010642,-0.0148988,,0.038532853,-0.021391677,-0.99673194,0.0676983
-0.7110774,0.5183443,9.493003,0.20000005,-30.6,-45.6,-0.0074494,-0.0021284,-0.0148988,,0.038544632,-0.021354023,-0.99674195,0.06755649
-0.7110774,0.5195414,9.442725,0.20000005,-30.6,-45.6,-0.0042568,-0.0021284,-0.0138346,,0.03851993,-0.021272583,-0.9967563,0.06738452
-0.7218513,0.5075704,9.507368,-0.39999998,-30.0,-43.8,-0.005321,-0.0042568,-0.0148988,,0.038502794,-0.021236561,-0.9967666,0.0672524
-0.7254426,0.5602428,9.56842,-0.39999998,-30.0,-43.8,-0.005321,-0.0031926,-0.0148988,,0.03846503,-0.02119833,-0.9967785,0.06711061
-0.730231,0.5099646,9.463076,-0.39999998,-30.0,-43.8,-0.0063852,-0.0021284,-0.0170272,,0.03843283,-0.021141862,-0.9967924,0.0669403
-0.7242455,0.5219356,9.466667,-0.39999998,-31.2,-43.2,-0.0085136,-0.0031926,-0.0148988,,0.03841626,-0.02108735,-0.99680495,0.06677981
